action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,1.04,0,50,,-4.86,-101.66,88.32,73.32,-0.76,1.41
2,1.07,1,49,0.560,-4.81,-101.51,88.44,72.76,-0.79,1.41
3,1.10,2,48,0.793,-4.87,-101.06,88.51,71.96,-0.84,1.42
4,1.14,3,47,0.681,-4.79,-101.17,88.14,71.28,-0.88,1.42
5,1.17,4,46,0.355,-4.77,-101.5,88.17,70.93,-0.85,1.43
6,1.20,5,45,0.405,-4.98,-101.81,88.48,70.52,-0.88,1.33
7,1.24,6,44,0.328,-4.83,-102.14,88.32,70.45,-0.85,1.4
8,1.27,7,43,0.404,-5.06,-101.86,87.92,70.07,-0.9,1.33
9,1.30,8,42,0.272,-4.79,-102.11,87.74,70.16,-0.87,1.36
10,1.34,9,41,0.369,-4.92,-102.43,87.93,69.79,-0.85,1.36
11,1.37,10,40,0.510,-5.13,-102.94,87.56,69.42,-0.91,1.3
12,1.40,11,39,1.079,-5.03,-101.86,88.15,69.05,-0.81,1.17
13,1.44,12,38,0.576,-5.06,-102.37,87.58,68.72,-0.88,1.26
14,1.47,13,37,0.646,-5.05,-103.02,88.04,68.08,-0.97,1.24
15,1.50,14,36,0.354,-4.96,-103.37,88.14,67.86,-0.86,1.24
16,1.54,15,35,0.930,-5.22,-102.59,87.21,67.36,-0.91,1.2
17,1.57,16,34,0.640,-5.35,-102.46,87.85,66.8,-0.94,1.14
18,1.61,17,33,0.433,-4.91,-102.83,87.48,66.38,-1.0,1.12
19,1.64,18,32,0.436,-5.05,-103.07,87.34,65.94,-0.88,1.13
20,1.67,19,31,0.426,-5.02,-103.43,87.41,65.52,-0.91,1.22
21,1.71,20,30,0.427,-5.18,-103.01,87.74,65.45,-0.87,1.15
22,1.74,21,29,0.832,-4.81,-103.26,86.91,65.15,-0.95,1.18
23,1.77,22,28,0.306,-5.11,-103.0,86.73,64.89,-0.99,1.16
24,1.81,23,27,0.604,-5.04,-102.83,86.13,64.59,-1.03,1.2
25,1.84,24,26,0.513,-5.06,-103.34,86.25,64.58,-0.97,1.16
26,1.87,25,25,0.410,-4.81,-102.93,85.87,64.21,-0.97,1.08
27,1.91,26,24,0.305,-5.05,-103.2,85.57,64.3,-1.02,1.19
28,1.94,27,23,0.516,-4.92,-102.92,85.05,64.03,-1.1,1.21
29,1.97,28,22,0.228,-5.08,-103.14,84.82,64.24,-1.01,1.1
30,2.01,29,21,0.410,-5.0,-102.73,84.98,64.17,-0.93,1.2
31,2.04,30,20,0.685,-4.87,-102.04,84.82,64.13,-1.09,1.06
32,2.07,31,19,0.798,-4.69,-102.84,84.81,64.19,-1.15,1.14
33,2.11,32,18,0.484,-4.55,-103.05,84.33,64.03,-1.19,1.11
34,2.14,33,17,0.755,-4.49,-102.51,85.08,64.15,-1.15,1.16
35,2.17,34,16,0.516,-4.49,-103.03,84.64,64.16,-1.18,1.05
36,2.21,35,15,1.198,-3.77,-102.77,83.45,64.07,-1.26,0.95
37,2.24,36,14,1.085,-3.64,-102.87,84.53,64.09,-1.08,1.03
38,2.27,37,13,0.743,-3.2,-102.51,83.79,64.28,-1.34,1.07
39,2.31,38,12,0.578,-2.63,-101.94,84.32,64.42,-1.14,1.11
40,2.34,39,25,3.193,-3.63,-101.84,85.71,61.23,-1.21,0.75
41,2.37,40,24,0.371,-3.48,-101.5,85.34,61.24,-1.25,0.79
42,2.41,41,23,0.481,-3.27,-101.98,84.88,61.25,-1.31,0.74
43,2.44,42,22,0.362,-3.19,-101.8,84.52,61.17,-1.26,0.87
44,2.47,43,21,0.195,-3.15,-101.67,84.71,61.11,-1.32,0.8
45,2.51,44,20,0.598,-3.11,-101.37,84.11,61.05,-1.32,0.68
46,2.54,45,19,0.244,-3.04,-101.51,83.99,61.3,-1.25,0.75
47,2.58,46,18,0.214,-3.25,-101.54,84.07,61.42,-1.22,0.64
48,2.61,47,17,0.914,-3.21,-101.98,83.16,61.48,-1.29,0.77
49,2.64,48,16,0.689,-3.23,-101.29,83.45,61.4,-1.31,0.78
50,2.68,49,15,0.708,-3.43,-101.6,82.74,61.57,-1.34,0.71
51,2.71,50,14,1.514,-4.94,-100.89,82.73,60.34,-1.38,0.42
52,2.74,51,13,0.446,-4.98,-101.34,82.5,60.46,-1.36,0.57
53,2.78,52,12,0.748,-5.07,-100.59,82.44,60.68,-1.4,0.46
54,2.81,53,11,0.426,-4.91,-100.91,82.87,60.71,-1.58,0.65
55,2.84,54,10,0.459,-5.0,-101.32,82.41,60.59,-1.43,0.59
56,2.88,55,9,0.625,-5.14,-100.69,82.17,60.52,-1.4,0.52
57,2.91,56,8,0.447,-5.17,-101.14,81.99,60.68,-1.33,0.34
58,2.94,57,7,0.570,-4.9,-101.04,81.42,60.59,-1.4,0.59
59,2.98,58,6,0.469,-4.91,-101.51,81.47,60.77,-1.39,0.34
60,3.01,59,5,0.757,-5.66,-100.75,81.53,60.87,-1.34,0.42
61,3.04,60,4,0.266,-5.66,-100.52,81.26,61.07,-1.41,0.25
62,3.08,61,3,0.248,-5.81,-100.61,81.07,61.23,-1.52,0.5
63,3.11,62,2,0.522,-6.12,-100.09,80.84,61.36,-1.44,0.38
64,3.14,63,1,0.395,-6.51,-100.39,81.03,61.28,-1.5,0.45
65,3.41,64,24,2.980,-4.83,-100.57,79.55,64.26,-1.53,0.79
66,3.44,65,23,0.314,-4.79,-100.78,79.87,64.0,-1.54,0.87
67,3.48,66,22,0.723,-4.75,-100.06,79.27,63.88,-1.48,0.81
68,3.51,67,21,0.724,-4.92,-99.34,78.85,64.01,-1.46,0.73
69,3.55,68,20,0.683,-4.77,-99.06,78.16,63.96,-1.5,0.71
70,3.58,69,19,2.038,-4.77,-97.02,77.6,64.06,-1.58,0.93
71,3.61,70,18,1.520,-4.72,-95.5,76.44,63.94,-1.46,0.77
72,3.65,71,17,2.007,-5.13,-93.49,75.57,63.95,-1.55,0.81
73,3.68,72,16,2.617,-5.17,-90.87,73.42,63.74,-1.6,0.84
74,3.71,73,15,3.208,-5.29,-87.67,71.36,63.63,-1.61,0.77
75,3.75,74,14,2.925,-5.53,-84.74,69.62,63.79,-1.52,0.77
76,3.78,75,13,1.931,-5.66,-82.81,69.24,63.59,-1.59,0.78
77,3.81,76,12,1.836,-5.55,-80.97,68.38,63.56,-1.66,0.7
78,3.85,77,11,1.675,-5.78,-79.74,66.7,63.74,-1.66,0.78
79,3.88,78,10,1.266,-5.74,-78.48,65.58,63.38,-1.73,0.52
80,3.91,79,9,2.417,-6.06,-76.06,64.81,63.4,-1.81,0.63
81,3.95,80,8,2.028,-6.14,-74.03,64.1,63.2,-2.09,0.58
82,3.98,81,7,1.806,-5.94,-72.42,62.3,63.05,-2.38,0.89
83,4.01,82,6,1.547,-5.88,-70.87,61.49,63.29,-2.62,0.62
84,4.05,83,5,1.288,-6.19,-69.58,60.25,63.15,-2.78,0.88
85,4.08,84,4,1.741,-6.14,-67.84,59.63,63.35,-2.87,0.76
86,4.11,85,3,1.156,-6.42,-66.69,58.77,63.44,-3.03,0.82
87,4.15,86,2,1.250,-6.29,-65.78,57.52,63.52,-3.11,0.73
88,4.18,87,1,0.470,-6.41,-65.31,57.16,63.44,-3.39,0.69
89,4.35,88,25,6.083,-3.63,-59.23,54.58,62.81,-3.39,0.28
90,4.38,89,24,1.710,-3.02,-58.81,52.87,63.85,-3.49,0.23
91,4.41,90,23,1.142,-2.97,-58.07,52.03,64.99,-3.62,0.28
92,4.45,91,22,1.036,-2.37,-58.06,50.99,65.79,-3.61,0.26
93,4.48,92,21,0.699,-2.16,-57.6,50.49,66.49,-3.58,0.24
