priority,episode_id,object_type,max_mean_speed,max_peak_speed,max_range,max_rev_per_step,oscillation_class,rule_flag,existing_label,manual_label
1_boundary,stuffed__022_stuffed,stuffed,1.866,107.96,138.4,0.0387,oscillation,False,,
1_boundary,banana__111_banana,banana,1.8,96.95,144.1,0.0206,oscillation,False,,
1_boundary,plush__132_plush,plush,1.797,103.31,167.5,0.0243,oscillation,False,,
1_boundary,brown__089_brown,brown,1.712,103.83,125.4,0.0224,oscillation,False,,
1_boundary,pouch__183_pouch,pouch,1.606,21.64,33.3,0.0,normal,False,,
1_boundary,banana__025_banana,banana,1.537,55.25,154.6,0.0185,normal,False,,
1_boundary,banana__048_banana,banana,1.526,85.34,87.0,0.0113,normal,False,,
1_boundary,banana__087_banana,banana,1.507,59.93,165.6,0.01,normal,False,,
1_boundary,stuffed__038_stuffed,stuffed,1.507,75.92,123.5,0.0158,normal,False,,
2_reversal_or_wide,banana__052_banana,banana,1.463,47.23,154.2,0.0191,normal,False,,
2_reversal_or_wide,banana__091_banana,banana,1.441,45.16,168.7,0.0227,oscillation,False,,
2_reversal_or_wide,banana__105_banana,banana,1.374,41.59,145.1,0.0165,normal,False,,
2_reversal_or_wide,pouch__007_pouch,pouch,1.374,54.39,159.1,0.0179,normal,False,,
2_reversal_or_wide,plush__148_plush,plush,1.372,59.39,127.8,0.0138,normal,False,,
2_reversal_or_wide,banana__050_banana,banana,1.347,56.59,162.6,0.0184,normal,False,,
2_reversal_or_wide,pouch__008_pouch,pouch,1.337,41.76,130.8,0.0169,normal,False,,
2_reversal_or_wide,roll__011_roll,roll,1.332,62.79,126.1,0.0161,normal,False,,
2_reversal_or_wide,pouch__099_pouch,pouch,1.31,31.29,126.9,0.0163,normal,False,,
2_reversal_or_wide,toy__124_toy,toy,1.309,31.79,155.5,0.017,normal,False,,
2_reversal_or_wide,cylindrical__185_cylindrical,cylindrical,1.281,26.25,123.0,0.0186,normal,False,,
2_reversal_or_wide,purse__015_purse,purse,1.268,42.43,144.7,0.0185,normal,False,,
2_reversal_or_wide,pouch__149_pouch,pouch,1.261,24.92,163.6,0.016,normal,False,,
2_reversal_or_wide,box__021_box,box,1.259,69.01,124.1,0.015,normal,False,,
2_reversal_or_wide,banana__068_banana,banana,1.25,28.99,122.8,0.0192,normal,False,,
2_reversal_or_wide,banana__096_banana,banana,1.238,37.83,168.2,0.0209,oscillation,False,,
2_reversal_or_wide,pouch__152_pouch,pouch,1.238,24.04,122.9,0.0212,oscillation,False,,
2_reversal_or_wide,plush__084_plush,plush,1.216,44.27,143.6,0.02,oscillation,False,,
2_reversal_or_wide,banana__062_banana,banana,1.208,49.31,131.6,0.0207,oscillation,False,,
2_reversal_or_wide,fail__101_banana,fail,1.201,60.6,172.2,0.0138,normal,False,,
2_reversal_or_wide,toy__047_toy,toy,1.193,49.43,141.1,0.0129,normal,False,,
2_reversal_or_wide,pouch__156_pouch,pouch,1.19,29.6,163.0,0.0231,oscillation,False,,
2_reversal_or_wide,banana__005_banana,banana,1.18,22.56,134.9,0.0168,normal,False,,
2_reversal_or_wide,box__118_box,box,1.168,19.58,134.7,0.0191,normal,False,,
2_reversal_or_wide,plush__051_plush,plush,1.167,40.32,138.9,0.013,normal,False,,
2_reversal_or_wide,pouch__117_pouch,pouch,1.165,21.29,134.8,0.0168,normal,False,,
2_reversal_or_wide,banana__123_banana,banana,1.164,53.23,158.6,0.0207,oscillation,False,,
2_reversal_or_wide,banana__001_banana,banana,1.153,29.5,150.8,0.0185,normal,False,,
2_reversal_or_wide,toy__143_toy,toy,1.148,18.88,165.7,0.0212,oscillation,False,,
2_reversal_or_wide,toy__120_toy,toy,1.146,22.45,134.1,0.017,normal,False,,
2_reversal_or_wide,roll__019_roll,roll,1.144,44.17,157.4,0.0181,normal,False,,
2_reversal_or_wide,toy__108_toy,toy,1.136,40.1,128.0,0.0167,normal,False,,
2_reversal_or_wide,pouch__060_pouch,pouch,1.134,28.72,138.1,0.0139,normal,False,,
2_reversal_or_wide,pouch__112_pouch,pouch,1.133,51.41,135.6,0.015,normal,False,,
2_reversal_or_wide,pouch__147_pouch,pouch,1.128,26.88,124.1,0.0174,normal,False,,
2_reversal_or_wide,plush__040_plush,plush,1.114,43.73,136.0,0.0122,normal,False,,
2_reversal_or_wide,toy__122_toy,toy,1.113,27.7,165.4,0.015,normal,False,,
2_reversal_or_wide,pouch__109_pouch,pouch,1.111,31.86,156.6,0.0212,oscillation,False,,
2_reversal_or_wide,plush__177_plush,plush,1.106,19.91,156.7,0.0189,normal,False,,
2_reversal_or_wide,plush__151_plush,plush,1.1,20.29,156.2,0.0155,normal,False,,
2_reversal_or_wide,moose__071_moose,moose,1.086,26.97,127.3,0.0129,normal,False,,
2_reversal_or_wide,banana__113_banana,banana,1.079,38.55,169.3,0.0192,normal,False,,
2_reversal_or_wide,banana__039_banana,banana,1.067,21.15,156.0,0.0233,oscillation,False,,
2_reversal_or_wide,banana__184_banana,banana,1.062,29.82,150.1,0.0157,normal,False,,
2_reversal_or_wide,stuffed__024_stuffed,stuffed,1.049,28.68,131.5,0.0178,normal,False,,
2_reversal_or_wide,plush__067_plush,plush,1.045,16.58,144.1,0.0116,normal,False,,
2_reversal_or_wide,pouch__075_pouch,pouch,1.043,36.4,148.6,0.0124,normal,False,,
2_reversal_or_wide,box__017_box,box,1.042,31.66,155.8,0.0173,normal,False,,
2_reversal_or_wide,banana__159_banana,banana,1.04,13.78,137.6,0.02,oscillation,False,,
2_reversal_or_wide,banana__193_banana,banana,1.039,24.01,138.9,0.0183,normal,False,,
2_reversal_or_wide,plush__061_plush,plush,1.03,18.05,128.0,0.0145,normal,False,,
2_reversal_or_wide,brown__082_brown,brown,1.02,34.58,163.7,0.0184,normal,False,,
2_reversal_or_wide,pouch__107_pouch,pouch,1.02,27.2,150.1,0.0177,normal,False,,
2_reversal_or_wide,box__081_box,box,1.011,20.86,155.6,0.02,oscillation,False,,
2_reversal_or_wide,banana__121_banana,banana,1.01,28.32,150.2,0.0133,normal,False,,
2_reversal_or_wide,pouch__180_pouch,pouch,1.009,38.18,55.6,0.0043,normal,False,,
2_reversal_or_wide,brown__077_brown,brown,1.001,25.59,141.4,0.0122,normal,False,,
2_reversal_or_wide,plush__192_plush,plush,1.001,23.47,137.8,0.0179,normal,False,,
2_reversal_or_wide,toy__010_toy,toy,0.989,45.34,163.2,0.0133,normal,False,,
2_reversal_or_wide,banana__041_banana,banana,0.982,21.24,155.3,0.0185,normal,False,,
2_reversal_or_wide,banana__009_banana,banana,0.979,15.14,142.5,0.0122,normal,False,,
2_reversal_or_wide,pouch__119_pouch,pouch,0.968,33.09,169.4,0.0167,normal,False,,
2_reversal_or_wide,banana__072_banana,banana,0.953,12.88,129.9,0.0133,normal,False,,
2_reversal_or_wide,purse__020_purse,purse,0.95,18.46,151.3,0.0141,normal,False,,
2_reversal_or_wide,banana__168_banana,banana,0.948,31.12,37.7,0.0277,normal,False,,
2_reversal_or_wide,fail__094_toy,fail,0.945,25.99,158.7,0.0163,normal,False,,
2_reversal_or_wide,plush__155_plush,plush,0.931,19.79,134.8,0.0156,normal,False,,
2_reversal_or_wide,roll__018_roll,roll,0.93,25.92,149.7,0.0138,normal,False,,
2_reversal_or_wide,toy__000_toy,toy,0.93,16.34,125.8,0.0162,normal,False,,
2_reversal_or_wide,pouch__182_pouch,pouch,0.92,34.5,54.1,0.0075,normal,False,,
2_reversal_or_wide,box__012_box,box,0.896,14.38,123.2,0.0135,normal,False,,
2_reversal_or_wide,toy__169_toy,toy,0.894,13.93,137.8,0.0167,normal,False,,
2_reversal_or_wide,plush__146_plush,plush,0.893,20.8,155.4,0.0142,normal,False,,
2_reversal_or_wide,brown__083_brown,brown,0.886,15.15,150.4,0.0177,normal,False,,
2_reversal_or_wide,banana__035_banana,banana,0.858,52.94,168.1,0.012,normal,False,,
2_reversal_or_wide,pouch__078_pouch,pouch,0.849,16.39,118.6,0.0148,normal,False,,
2_reversal_or_wide,plush__154_plush,plush,0.842,12.42,129.4,0.0083,normal,False,,
2_reversal_or_wide,banana__036_banana,banana,0.832,26.14,166.6,0.0142,normal,False,,
2_reversal_or_wide,toy__034_toy,toy,0.792,21.4,139.7,0.0124,normal,False,,
2_reversal_or_wide,toy__003_toy,toy,0.787,17.55,140.3,0.0123,normal,False,,
2_reversal_or_wide,fail__100_banana,fail,0.772,18.46,175.1,0.0151,normal,False,,
2_reversal_or_wide,plush__158_plush,plush,0.769,11.07,130.7,0.0122,normal,False,,
2_reversal_or_wide,banana__125_banana,banana,0.632,19.4,168.4,0.006,normal,False,,
0_done,fail__074_pouch,fail,4.288,158.93,163.4,0.0397,oscillation,True,oscillation,oscillation
0_done,fail__196_pencil,fail,3.677,170.0,175.2,0.0304,oscillation,True,oscillation,oscillation
0_done,pouch__002_pouch,pouch,3.241,111.4,163.5,0.0276,oscillation,True,oscillation,oscillation
0_done,fail__080_box,fail,2.909,153.72,157.6,0.0261,oscillation,True,oscillation,oscillation
0_done,pouch__004_pouch,pouch,2.872,130.44,163.2,0.0373,oscillation,True,oscillation,oscillation
0_done,banana__172_banana,banana,2.76,148.64,150.9,0.0307,oscillation,True,oscillation,oscillation
0_done,plush__133_plush,plush,2.516,87.65,164.7,0.0418,oscillation,False,non_oscillation,non_oscillation
0_done,banana__110_banana,banana,2.434,125.95,160.1,0.0244,oscillation,True,oscillation,oscillation
0_done,pouch__145_pouch,pouch,2.385,78.05,116.9,0.0354,oscillation,False,non_oscillation,non_oscillation
0_done,brown__013_brown,brown,2.145,98.58,156.2,0.0343,oscillation,False,non_oscillation,non_oscillation
0_done,plush__162_plush,plush,2.134,128.84,148.6,0.0284,oscillation,False,non_oscillation,non_oscillation
0_done,fail__114_toy,fail,2.058,102.95,110.1,0.0317,oscillation,False,non_oscillation,non_oscillation
0_done,banana__086_banana,banana,2.038,90.69,163.3,0.022,oscillation,False,non_oscillation,non_oscillation
0_done,fail__104_toy,fail,1.778,72.47,156.7,0.0212,oscillation,False,non_oscillation,non_oscillation
0_done,fail__095_toy,fail,1.69,77.09,160.9,0.0286,oscillation,False,non_oscillation,non_oscillation
0_done,toy__106_toy,toy,1.659,91.72,163.9,0.0247,oscillation,False,non_oscillation,non_oscillation
0_done,pouch__181_pouch,pouch,1.615,66.56,86.9,0.0183,normal,False,non_oscillation,non_oscillation
0_done,pouch__178_pouch,pouch,1.613,75.46,133.8,0.015,normal,False,non_oscillation,non_oscillation
0_done,purse__016_purse,purse,1.593,113.76,176.9,0.0205,oscillation,False,non_oscillation,non_oscillation
0_done,stuffed__023_stuffed,stuffed,1.478,63.86,147.6,0.0208,oscillation,False,non_oscillation,non_oscillation
0_done,sausage__097_sausage,sausage,1.433,48.76,145.3,0.0151,normal,False,non_oscillation,non_oscillation
0_done,plush__166_plush,plush,1.415,81.58,157.1,0.0275,oscillation,False,non_oscillation,non_oscillation
0_done,plush__069_plush,plush,1.39,65.08,162.9,0.0251,oscillation,False,non_oscillation,non_oscillation
0_done,pouch__076_pouch,pouch,1.292,55.3,132.7,0.0181,normal,False,non_oscillation,non_oscillation
0_done,plush__070_plush,plush,1.13,33.95,169.4,0.0221,oscillation,False,non_oscillation,non_oscillation
0_done,banana__102_banana,banana,1.1,62.85,164.5,0.0168,normal,False,non_oscillation,non_oscillation
0_done,pouch__079_pouch,pouch,1.052,41.21,162.0,0.0143,normal,False,non_oscillation,non_oscillation
0_done,banana__085_banana,banana,1.002,88.43,167.5,0.0109,normal,False,non_oscillation,non_oscillation
0_done,banana__103_banana,banana,0.902,48.3,165.6,0.0093,normal,False,non_oscillation,non_oscillation
0_done,banana__126_banana,banana,0.843,28.88,172.3,0.0079,normal,False,non_oscillation,non_oscillation
3_calm,fail__093_toy,fail,0.465,8.84,39.8,0.0084,normal,False,,
3_calm,kiwi__063_kiwi,kiwi,0.397,1.28,2.2,0.0,zero_movement,False,,
3_calm,banana__194_banana,banana,0.391,1.46,2.9,0.0,zero_movement,False,,
3_calm,brown__042_brown,brown,0.388,1.58,2.3,0.0,zero_movement,False,,
3_calm,pouch__043_pouch,pouch,0.373,3.38,5.3,0.0,zero_movement,False,,
3_calm,banana__028_banana,banana,0.364,1.07,1.5,0.0,zero_movement,False,,
3_calm,chocolate__165_chocolate,chocolate,0.362,1.15,2.5,0.0,zero_movement,False,,
3_calm,pouch__056_pouch,pouch,0.334,2.62,3.6,0.0,zero_movement,False,,
3_calm,pouch__058_pouch,pouch,0.314,1.33,2.3,0.0,zero_movement,False,,
3_calm,banana__049_banana,banana,0.306,4.9,6.7,0.0,zero_movement,False,,
3_calm,banana__088_banana,banana,0.296,3.93,7.5,0.0,zero_movement,False,,
3_calm,pouch__066_pouch,pouch,0.294,2.05,7.0,0.0,zero_movement,False,,
3_calm,robot__150_robot,robot,0.292,1.13,1.4,0.0,zero_movement,False,,
3_calm,banana__033_banana,banana,0.29,1.36,1.9,0.0,zero_movement,False,,
3_calm,cylindrical__195_cylindrical,cylindrical,0.288,1.01,1.5,0.0,zero_movement,False,,
3_calm,banana__161_banana,banana,0.283,0.95,2.7,0.0,zero_movement,False,,
3_calm,brown__029_brown,brown,0.281,1.17,2.0,0.0,zero_movement,False,,
3_calm,brown__014_brown,brown,0.272,1.32,2.2,0.0,zero_movement,False,,
3_calm,banana__027_banana,banana,0.269,1.31,2.1,0.0,zero_movement,False,,
3_calm,sausage__098_sausage,sausage,0.261,0.92,1.3,0.0,zero_movement,False,,
