episode_id,object_type,episode_dir,task,num_actions,duration_s,source,shoulder_pan_major_rev,shoulder_pan_range,shoulder_pan_rev_per_step,shoulder_pan_mean_speed,shoulder_pan_peak_speed,shoulder_pan_fast_rev,shoulder_lift_major_rev,shoulder_lift_range,shoulder_lift_rev_per_step,shoulder_lift_mean_speed,shoulder_lift_peak_speed,shoulder_lift_fast_rev,elbow_flex_major_rev,elbow_flex_range,elbow_flex_rev_per_step,elbow_flex_mean_speed,elbow_flex_peak_speed,elbow_flex_fast_rev,wrist_flex_major_rev,wrist_flex_range,wrist_flex_rev_per_step,wrist_flex_mean_speed,wrist_flex_peak_speed,wrist_flex_fast_rev,total_major_rev,max_range,max_rev_per_step,oscillating_joints,n_oscillating_joints,oscillation_class,max_mean_speed,max_peak_speed,max_fast_rev,high_velocity,high_peak,review_flag,review_reason
banana__001_banana,banana,001_banana,put the banana on the tray,594,19.815,commanded,5,80.8,0.0084,0.56,14.66,11,8,150.8,0.0135,1.153,29.5,17,11,148.0,0.0185,1.054,27.3,17,6,55.1,0.0101,0.581,17.66,11,30,150.8,0.0185,,0,normal,1.153,29.5,17,False,False,False,
banana__005_banana,banana,005_banana,put the banana on the tray,417,14.799,commanded,3,48.2,0.0072,0.409,8.38,3,7,131.0,0.0168,1.18,18.99,11,7,134.9,0.0168,1.134,22.56,11,5,44.0,0.012,0.641,9.69,5,22,134.9,0.0168,,0,normal,1.18,22.56,11,False,False,False,
banana__009_banana,banana,009_banana,put the banana on the tray,491,17.694,commanded,4,86.4,0.0082,0.437,9.71,2,6,142.5,0.0122,0.979,15.14,13,5,130.4,0.0102,0.851,12.17,9,6,54.8,0.0122,0.571,6.21,2,21,142.5,0.0122,,0,normal,0.979,15.14,13,False,False,False,
banana__025_banana,banana,025_banana,put the banana in the box,541,18.629,commanded,2,49.2,0.0037,0.444,27.44,5,7,154.6,0.013,1.537,55.25,14,10,153.7,0.0185,1.401,53.56,17,5,40.6,0.0093,0.712,20.25,11,24,154.6,0.0185,,0,normal,1.537,55.25,17,False,False,False,
banana__026_banana,banana,026_banana,put the banana in the box,117,6.154,commanded,0,0.8,0.0,0.122,0.5,0,0,1.4,0.0,0.35,1.23,0,0,1.7,0.0,0.329,1.14,0,0,1.7,0.0,0.101,0.67,0,0,1.7,0.0,,0,zero_movement,0.35,1.23,0,False,False,False,
banana__027_banana,banana,027_banana,put the banana in the box,109,5.351,commanded,0,0.7,0.0,0.104,0.5,0,0,2.1,0.0,0.269,1.31,0,0,1.4,0.0,0.269,0.91,0,0,1.1,0.0,0.099,0.58,0,0,2.1,0.0,,0,zero_movement,0.269,1.31,0,False,False,False,
banana__028_banana,banana,028_banana,put the banana in the box,110,5.415,commanded,0,0.8,0.0,0.098,0.44,0,0,1.5,0.0,0.364,1.02,0,0,1.4,0.0,0.293,1.07,0,0,1.3,0.0,0.111,0.98,0,0,1.5,0.0,,0,zero_movement,0.364,1.07,0,False,False,False,
banana__031_banana,banana,031_banana,put the banana on the tray,145,5.519,commanded,0,1.2,0.0,0.146,0.49,0,0,2.2,0.0,0.365,1.48,0,0,1.9,0.0,0.396,1.28,0,0,2.0,0.0,0.143,0.57,0,0,2.2,0.0,,0,zero_movement,0.396,1.48,0,False,False,False,
banana__032_banana,banana,032_banana,put the banana on the tray,147,5.585,commanded,0,1.4,0.0,0.119,0.44,0,0,1.7,0.0,0.312,1.07,0,0,2.2,0.0,0.325,1.31,0,0,1.0,0.0,0.128,0.49,0,0,2.2,0.0,,0,zero_movement,0.325,1.31,0,False,False,False,
banana__033_banana,banana,033_banana,put the banana on the tray,167,8.128,commanded,0,0.8,0.0,0.11,0.38,0,0,1.7,0.0,0.29,1.36,0,0,1.9,0.0,0.28,1.01,0,0,1.5,0.0,0.096,0.4,0,0,1.9,0.0,,0,zero_movement,0.29,1.36,0,False,False,False,
